model,variable,coef,se,pvalue
M1,const,1.154214232605452,0.6171887978493035,0.06300585664302205
M1,hf_pct,-0.1605860526568252,0.14959648939130357,0.28442560602305256
M1,hmis_es_cov,0.08877701867441143,0.1181722570063807,0.4534311339244188
M1,log_total_beds,-0.039954200539610796,0.07939292037297148,0.6153739570671135
M2,const,1.1102457816729758,0.6683006557599177,0.09833844166192307
M2,log_1d_10a_1_years,0.00012021171033165141,0.02367697900038174,0.9959544744671478
M2,1b_1_6_ces_bin,-0.0031725631588078126,0.09123739892525014,0.9722983439299184
M2,hf_pct,-0.07987691081825768,0.24678935081116268,0.746555808439739
M2,hmis_es_cov,0.0837962923420636,0.12062859320290284,0.4881329605955582
M2,log_total_beds,-0.04381460218689332,0.08585032704771756,0.6104041671640621
M3,const,0.05752141565344021,2.5935311877464033,0.9823053266899371
M3,nonprofit_led,-0.04440077193307562,0.03765385598159411,0.23832547169249485
M3,log_1d_10a_1_years,0.01012120621089762,0.017186846900719945,0.5559333512710515
M3,1b_1_6_voted_bin,0.7716668642318674,2.590528295917097,0.765794666041581
M3,1b_1_6_ces_bin,0.03472091711166325,0.07779299526801069,0.6553628854050506
M3,hf_pct,-0.15650736105614346,0.05838244399929449,0.0073462544100041886
M3,hmis_es_cov,0.11182131338698369,0.11092929237159876,0.3134346128323988
M3,log_total_beds,0.005567207561776796,0.017168953755026802,0.7457410849487924
M4,const,-22.144163772109735,0.7127536222366734,6.424639659760587e-212
M4,nonprofit_led,-0.2488676022530134,0.2021019855017901,0.21817474472485665
M4,log_1d_10a_1_years,0.17993296195710373,0.07837388186995622,0.021685710876293923
M4,1b_1_6_voted_bin,21.562888119928367,0.2619582386479455,0.0
M4,1b_1_6_ces_bin,0.13266996052310048,0.22609163328228438,0.557339848715397
M4,hf_pct,0.18908376314141787,0.4096346085594883,0.6443744493038537
M4,hmis_es_cov,0.4933456455230381,0.3172415359051498,0.11991975317703679
M4,log_total_beds,0.10001907028479823,0.09307296356428624,0.2825400710896374
M4,year_2023,0.08632182373871346,0.12712109909135297,0.4971049784917706
M4,year_2024,0.5774372123138213,0.17828328277208977,0.0012000228360398092
