coc_id,year,field_id,class,manual_value,auto_value,source_page,reason
AL-500,2024,1a_1b,C_label,"Birmingham/Jefferson, St. Clair, Shelby Counties","Birmingham/Jefferson, St. Clair, Shelby Counties CoC",2,"manual='birmingham/jefferson, st. clair, shelby counties'/auto='birmingham/jefferson, st. clair, shelby counties coc'"
CA-500,2024,1a_1b,C_label,San Jose/ Santa Clara City & County CoC,San Jose/Santa Clara City & County CoC,2,manual='san jose/ santa clara city & county coc'/auto='san jose/santa clara city & county coc'
FL-501,2024,1b_1_7_ces,A_categorical,Yes,No,3,manual='Yes'/auto='No'
NY-600,2024,1c_1_6,A_categorical,No,Yes,9,manual='No'/auto='Yes'
NY-600,2024,1c_1_8,A_categorical,Yes,No,9,manual='Yes'/auto='No'
TX-600,2024,2a_5_1_non_vsp,B_integer,,1617,47,manual_blank
TX-600,2024,2a_5_1_vsp,B_integer,,268,47,manual_blank
TX-600,2024,2a_5_1_hmis,B_integer,,1744,47,manual_blank
TX-600,2024,2a_5_1_coverage,B_percent,,0.9252,47,manual_blank
TX-600,2024,2a_5_2_non_vsp,B_integer,,55,47,manual_blank
TX-600,2024,2a_5_2_vsp,B_integer,,0,47,manual_blank
TX-600,2024,2a_5_2_hmis,B_integer,,55,47,manual_blank
TX-600,2024,2a_5_2_coverage,B_percent,,1.0,47,manual_blank
TX-600,2024,2a_5_3_non_vsp,B_integer,,1277,47,manual_blank
TX-600,2024,2a_5_3_vsp,B_integer,,128,47,manual_blank
TX-600,2024,2a_5_3_hmis,B_integer,,279,47,manual_blank
TX-600,2024,2a_5_3_coverage,B_percent,,0.1986,47,manual_blank
TX-600,2024,2a_5_4_non_vsp,B_integer,,1636,47,manual_blank
TX-600,2024,2a_5_4_vsp,B_integer,,69,47,manual_blank
TX-600,2024,2a_5_4_hmis,B_integer,,1636,47,manual_blank
TX-600,2024,2a_5_4_coverage,B_percent,,0.9595,47,manual_blank
TX-600,2024,2a_5_5_non_vsp,B_integer,,2487,47,manual_blank
TX-600,2024,2a_5_5_vsp,B_integer,,0,47,manual_blank
TX-600,2024,2a_5_5_hmis,B_integer,,2487,47,manual_blank
TX-600,2024,2a_5_5_coverage,B_percent,,1.0,47,manual_blank
TX-600,2024,2a_5_6_non_vsp,B_integer,,1034,47,manual_blank
TX-600,2024,2a_5_6_vsp,B_integer,,0,47,manual_blank
TX-600,2024,2a_5_6_hmis,B_integer,,1034,47,manual_blank
TX-600,2024,2a_5_6_coverage,B_percent,,1.0,47,manual_blank
TX-600,2024,2a_6,A_categorical,,Yes,48,manual_blank
TX-600,2024,3a_1,A_categorical,,Yes,57,manual_blank
TX-600,2024,3a_2,A_categorical,,Yes,57,manual_blank
TX-600,2024,3c_1,A_categorical,,No,60,manual_blank
TX-600,2024,4a_1,A_categorical,,Yes,61,manual_blank
